id_PEP,kids_actual,kids_expected,wife_actual,wife_expected,total_property_assets,total_property_assets_divide_income,sum_income,am_avto,am_avto_without_price,am_real_estate,am_real_estate_without_price,am_land,am_land_without_price,no_real_estate_adress,no_real_estate_region,sum_act_property_cash,sum_act_property_cash_divide_sum_prev_property_cash,sum_prev_property_cash,sum_act_sale_property,sum_prev_sale_property,sum_income_divide_sum_act_property_minus_sum_prev_property,sum_taken_teaching_dopwork,sum_taken_teaching_dopwork_divide_sum_income,sum_royalty,sum_royalty_divide_sum_income,sum_income_assets,sum_spending,sum_present,sum_prize,am_car2013_less150,am_lux_car,sum_cash,sum_cash_assets,sum_prev_cash_assets,sum_cash_min_year,sum_cash_min_year_divide_sum_income_min_year,sum_income_min_year,sum_spending_divide_sum_income,am_company_noBeneficInform,am_company,sum_money_spending,sum_crypto,am_live_property_rent_300more
4365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3739446.4,,,,,,,,,,,
4367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2844330.0,,,,,,,,,,,
4368,,,,,,,1792715.0,,,,,,,,,3897272.0,8.7119,447352.0,,,,,,,,2240067.0,3449920.0,,,,1.0,,,,,,,192.4411,,,,,
4372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4268084.8,5605915.8,5044646.6256,,,,,,,,,
4374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2261520.8,,,,,,,,,,,
4378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2663998.4,,,,,,,,,,,
4381,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
4383,,,,,,,1891516.0,,,,,,,,,,,,,,,,,,,,1581774.0,,,1.0,,,,,,,,83.6247,,,,,
4384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7494000.0,7393246.0,,,,,,,,,
4385,,,,,,,,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4386,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,
4388,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,4332962.08,,,,,,,,,,,
4389,,,,,,,,2.0,1.0,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4399,,,,,26194070.0,13.4698,1944649.0,,,,,,,,,,,,,,,,,,,,,,,,,26194070.0,,,,,,,,,,,
4403,,,,,1433778.6,1433778.6,1.0,,,,,,,0.0,,,,,,,,,,,,,,,,,1.0,,,,2311284.4,27.404,84341.0,,,,,,
4404,,,,,,,,,,,,,,,,551995.506,11.1514,49500.0,,,,,,,,,,,,,,,858189.106,649603.6,,,,,,,,,
4405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1862637.0912,,,,,,,,,,,
4410,0.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,4039807.25,,,3624931.05,6.3876,567494.0,,,,,,
4411,,,,,,,,3.0,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4412,,,,,,,976576.0,,,,,,,,,,,,,,,,,,,,1025000.0,,,,1.0,,,,,,,104.9585,,,,,
4419,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1.0,,,,963819.0,10.2756,93797.0,,,,,,
4434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3552807.2,,,,,,,,,,,
4436,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4440,,,,,26328902.0,64.687,407020.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.0,18004296.0,,,,,,,,,,,
4443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3327692.6,,,3441864.48,5.6655,607508.0,,,,,,
4444,,,,,,,8526816.0,,,,,,,,,,,,,,,,,,,,6658643.0,,,,,,,,,,,78.0906,1.0,,,,
4445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5079457.2,,,,,,,,,,,
4451,,,,,,,,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4463,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4490,0.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1698654.8,,,,,,,,,,,
4491,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,5824187.36,,,6887335.36,14.495,475154.0,,1.0,,,,
4495,0.0,1.0,1.0,1.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4497,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4498,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4501,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4502,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4177020.0,,,3285922.4,5.8633,560426.0,,,,,,
4506,0.0,1.0,0.0,0.0,,,169291.0,,,,,,,,,,,,,,,,,,,,245000.0,,,,,5569360.0,,,9118822.8,263.687,34582.0,144.7212,1.0,,,,
4512,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
